,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Dan Issel,0.563,12.5,9.2,8.8,6.9,0.214,42.0,10.7,20.9,0.513,0.514,2.6,27.3
Artis Gilmore,0.589,20.1,11.4,8.7,9.8,0.253,41.7,8.2,14.6,0.559,0.56,3.5,20.8
Louie Dampier,0.522,3.3,22.4,2.8,4.7,0.117,38.0,6.4,14.3,0.451,0.474,6.5,16.8
Rick Mount,0.508,3.7,15.0,1.2,2.3,0.094,29.2,6.0,13.2,0.459,0.465,3.2,14.9
Walt Simon,0.515,7.9,18.5,1.7,4.4,0.122,29.0,5.2,10.8,0.482,0.483,4.0,12.2
Claude Virden,0.433,8.9,11.5,-1.0,1.4,0.023,26.6,4.2,10.5,0.398,0.398,2.4,9.9
Mike Gale,0.511,6.2,16.4,0.8,3.1,0.1,22.9,2.7,5.7,0.471,0.472,3.1,6.6
Wendell Ladner,0.393,13.1,14.2,-1.8,1.5,-0.024,17.8,2.9,8.6,0.343,0.355,1.9,7.3
Jimmy O'Brien,0.449,4.3,21.2,-0.7,1.7,0.046,14.9,1.9,4.7,0.397,0.397,2.6,4.7
Bill Chamberlain,0.435,9.0,16.1,-0.8,1.1,0.025,13.2,2.3,5.8,0.407,0.409,1.6,5.5
Ron Thomas,0.483,14.9,8.1,0.0,0.8,0.103,11.9,2.0,4.3,0.47,0.47,0.7,4.7
Pierre Russell,0.481,10.0,13.3,-0.1,1.2,0.084,10.5,2.0,4.5,0.447,0.451,1.0,4.9
Julius Erving,0.547,14.1,15.7,6.8,3.0,0.157,42.2,12.6,25.4,0.496,0.497,4.2,31.9
Fatty Taylor,0.498,6.1,18.1,0.6,1.9,0.048,32.7,4.1,8.7,0.465,0.468,4.8,10.1
Jim Eakins,0.602,14.0,13.4,6.5,2.6,0.17,30.8,5.2,9.9,0.522,0.522,3.2,15.0
Goose Ligon,0.591,12.7,7.2,0.7,0.3,0.132,30.0,4.8,8.6,0.563,0.563,1.7,12.0
Mike Barr,0.518,5.3,15.4,1.3,1.4,0.062,26.3,3.7,7.7,0.472,0.473,3.2,9.1
George Irvine,0.573,7.0,9.9,4.2,1.3,0.127,26.3,5.4,10.2,0.527,0.531,1.9,13.0
George Gervin,0.54,9.1,7.1,1.1,0.5,0.112,23.0,5.4,11.4,0.472,0.481,1.1,14.1
Bernie Williams,0.485,4.0,13.0,0.0,0.8,0.026,21.3,5.0,11.7,0.428,0.434,1.9,12.5
Neil Johnson,0.525,12.3,13.9,1.1,1.4,0.082,20.9,3.0,6.2,0.49,0.49,2.3,7.6
Dave Twardzik,0.579,5.7,16.4,2.0,1.0,0.107,17.0,1.8,3.8,0.461,0.464,2.3,5.8
Willie Sojourner,0.517,16.7,9.5,0.8,1.1,0.086,16.6,3.1,6.4,0.485,0.485,1.2,7.5
Bill Franklin,0.452,14.2,7.1,-1.1,0.9,-0.009,13.6,3.0,7.2,0.416,0.418,0.7,7.5
Erwin Mueller,0.322,11.2,14.9,-0.5,0.2,-0.071,12.1,1.0,3.1,0.321,0.321,1.5,2.2
Al Sanders,0.862,9.7,0.0,0.1,0.0,0.209,6.3,0.5,0.5,1.0,1.0,0.0,2.0
Billy Shepherd,0.343,3.6,14.2,-0.3,0.0,-0.183,4.3,0.4,2.2,0.2,0.257,0.5,1.7
George Carter,0.532,8.8,8.9,4.0,0.3,0.068,35.9,6.9,15.0,0.456,0.456,2.1,19.0
Billy Paultz,0.56,18.4,10.4,5.2,0.4,0.095,34.6,6.6,12.7,0.518,0.518,2.3,16.7
John Roche,0.521,2.8,19.4,2.3,0.2,0.045,34.0,5.2,11.8,0.444,0.463,4.5,14.4
Brian Taylor,0.555,5.1,13.3,3.5,0.1,0.085,32.3,6.3,12.2,0.515,0.518,2.8,15.3
Bill Melchionni,0.513,3.5,35.8,1.3,0.2,0.039,30.3,4.8,10.6,0.45,0.455,7.4,12.3
Trooper Washington,0.555,13.9,13.8,1.9,0.2,0.051,26.7,3.0,5.6,0.539,0.539,2.7,6.9
Jim Chones,0.533,13.8,6.7,2.4,0.2,0.058,26.3,4.8,9.4,0.514,0.514,1.2,11.4
George Bruns,0.552,1.7,21.5,0.3,0.0,0.066,18.2,2.4,5.1,0.47,0.485,2.8,6.6
Bob Lackey,0.475,6.9,16.1,-0.2,0.1,-0.005,17.4,2.3,5.2,0.431,0.434,2.0,6.0
Gary Gregor,0.522,12.8,7.7,0.5,0.1,0.042,14.9,2.5,5.1,0.485,0.488,0.8,5.8
Johnny Baum,0.548,9.5,4.6,1.8,0.1,0.083,14.3,2.9,5.8,0.505,0.505,0.4,7.3
Joe DePre,0.4,8.5,24.7,0.0,0.0,-0.091,12.0,2.0,5.0,0.4,0.4,2.0,4.0
