,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Larry Bird,0.585,14.7,25.7,10.5,5.2,0.238,39.5,11.5,22.0,0.522,0.538,6.6,28.7
Dennis Johnson,0.522,5.9,23.4,3.5,2.8,0.103,37.2,6.2,13.3,0.462,0.466,6.8,15.7
Robert Parish,0.586,16.3,5.8,5.0,4.0,0.151,36.1,7.0,12.9,0.542,0.542,1.6,17.6
Danny Ainge,0.57,5.8,19.9,3.9,2.8,0.124,34.2,5.6,10.6,0.529,0.539,5.3,12.9
Kevin McHale,0.617,14.8,7.4,7.6,3.4,0.199,33.6,7.7,13.4,0.57,0.57,1.8,19.8
Cedric Maxwell,0.634,8.9,8.4,3.2,1.4,0.147,26.2,3.5,6.6,0.533,0.533,1.8,11.1
Ray Williams,0.45,6.9,23.8,-0.2,0.6,0.042,20.0,2.4,6.2,0.385,0.406,3.9,6.4
Scott Wedman,0.515,7.8,11.1,1.2,1.0,0.093,14.4,2.8,5.9,0.478,0.497,1.2,6.4
Quinn Buckner,0.419,5.6,20.1,-0.7,1.2,0.027,11.4,1.0,2.6,0.383,0.383,2.0,2.4
Carlos Clark,0.482,6.8,10.3,-0.2,0.7,0.044,9.1,1.0,2.5,0.421,0.421,0.8,2.7
M.L. Carr,0.479,6.0,7.7,0.0,0.5,0.05,8.4,1.3,3.2,0.416,0.446,0.5,3.2
Greg Kite,0.431,11.6,4.6,-0.3,0.4,0.006,7.7,0.6,1.6,0.375,0.375,0.3,1.6
Rick Carlisle,0.45,6.5,17.5,-0.2,0.1,-0.021,4.7,0.7,1.8,0.388,0.388,0.7,1.8
Moses Malone,0.577,19.7,6.6,7.9,4.0,0.193,37.4,7.6,16.3,0.469,0.469,1.6,24.6
Maurice Cheeks,0.619,4.7,26.8,6.2,2.8,0.165,33.5,5.4,9.5,0.57,0.574,6.4,13.1
Julius Erving,0.546,9.2,14.6,4.5,3.1,0.144,32.5,7.8,15.8,0.494,0.495,3.0,20.0
Andrew Toney,0.582,4.5,24.3,4.0,1.5,0.118,32.0,6.4,13.1,0.492,0.514,5.2,17.8
Charles Barkley,0.599,16.9,9.6,4.2,3.3,0.154,28.6,5.2,9.5,0.545,0.546,1.9,14.0
Clint Richardson,0.5,5.7,13.7,0.9,0.9,0.058,20.7,2.5,5.5,0.453,0.454,2.1,6.0
Bobby Jones,0.625,10.3,12.8,2.8,2.0,0.142,20.4,2.6,4.8,0.538,0.538,1.9,7.5
Sedale Threatt,0.489,4.3,18.5,-0.1,1.4,0.047,15.9,2.3,5.1,0.452,0.457,2.1,5.4
Clemon Johnson,0.526,14.2,5.1,0.8,0.9,0.095,15.1,2.0,4.1,0.498,0.498,0.6,4.7
George Johnson,0.459,12.2,6.9,-0.2,0.9,0.047,13.7,1.9,4.8,0.407,0.409,0.7,4.8
Marc Iavaroni,0.446,10.5,4.9,-0.3,0.1,-0.039,13.0,1.0,2.6,0.387,0.387,0.5,2.5
Sam Williams,0.427,12.3,3.0,-0.8,0.7,-0.008,10.6,1.3,3.2,0.392,0.392,0.2,3.1
Steve Hayes,0.557,19.0,1.3,0.1,0.1,0.124,9.2,0.9,1.6,0.556,0.556,0.1,2.0
Leon Wood,0.419,3.8,24.5,-0.3,0.2,-0.029,7.1,1.3,3.5,0.373,0.388,1.2,3.2
Buck Williams,0.562,17.7,7.1,3.7,4.0,0.116,38.8,7.0,13.3,0.53,0.53,2.0,18.2
Micheal Ray Richardson,0.513,8.2,30.5,4.5,4.2,0.134,38.1,8.4,17.9,0.469,0.479,8.2,20.1
Otis Birdsong,0.534,4.5,19.3,2.8,1.4,0.109,32.9,8.8,17.3,0.511,0.513,4.1,20.6
Mike Gminski,0.538,14.7,8.5,3.6,2.5,0.122,29.9,4.7,10.1,0.465,0.465,2.0,12.8
Mike O'Koren,0.518,8.3,12.2,0.9,1.0,0.081,26.0,4.5,9.1,0.494,0.504,2.4,10.2
Darryl Dawkins,0.616,10.4,6.4,1.2,0.9,0.104,24.9,4.9,8.7,0.566,0.566,1.2,13.5
Ron Brewer,0.62,4.1,6.2,0.6,0.1,0.15,22.3,4.5,7.6,0.583,0.583,1.0,10.4
Kelvin Ransey,0.505,4.3,28.2,1.9,1.5,0.096,20.9,3.7,8.1,0.459,0.46,4.4,8.9
Albert King,0.531,10.4,10.2,1.0,0.9,0.106,20.5,5.4,11.0,0.491,0.491,1.4,12.8
Jeff Turner,0.504,8.6,9.4,0.2,1.0,0.04,19.8,2.4,5.2,0.454,0.454,1.5,5.8
Kevin McKenna,0.539,5.1,13.4,0.4,0.5,0.082,18.4,2.1,4.6,0.455,0.474,2.0,5.7
Darwin Cook,0.496,4.9,20.8,0.3,1.2,0.071,18.3,3.7,7.8,0.468,0.47,2.8,8.2
George Johnson,0.589,13.0,3.2,0.2,1.1,0.081,12.3,0.6,1.2,0.532,0.538,0.3,1.6
Michael Wilson,0.429,7.9,14.5,0.0,0.1,0.033,11.5,1.1,2.9,0.391,0.391,1.4,2.8
Chris Engler,0.476,19.9,0.0,0.1,0.1,0.124,10.9,1.0,2.3,0.438,0.438,0.0,2.7
Wayne Sappleton,0.471,14.1,3.0,-0.2,0.3,0.012,9.0,1.2,2.6,0.471,0.471,0.2,2.9
Tom LaGarde,0.266,14.0,0.0,0.0,0.0,-0.17,8.0,0.0,1.0,0.0,0.0,0.0,1.0
Jeff Ruland,0.617,15.7,15.8,1.1,2.2,0.111,38.8,6.8,11.9,0.569,0.569,4.4,18.9
Gus Williams,0.482,3.6,30.5,1.2,3.9,0.083,37.5,8.1,18.8,0.43,0.447,7.7,20.0
Jeff Malone,0.543,4.3,10.7,3.4,2.3,0.105,34.4,8.0,16.0,0.499,0.505,2.4,18.9
Greg Ballard,0.513,11.0,10.9,2.1,3.9,0.109,32.5,5.7,11.9,0.48,0.487,2.5,13.1
Cliff Robinson,0.507,16.1,12.0,-0.3,3.2,0.075,31.2,7.0,14.9,0.471,0.472,2.5,16.7
Rick Mahorn,0.526,16.2,7.4,-0.3,3.9,0.083,26.9,2.7,5.4,0.499,0.499,1.6,6.3
Charles Jones,0.569,15.4,5.0,0.9,1.3,0.168,22.8,2.3,4.4,0.528,0.528,0.9,5.9
Tom McMillen,0.519,7.5,4.6,1.2,1.4,0.082,22.4,3.7,7.7,0.472,0.472,0.8,8.9
Frank Johnson,0.535,3.8,22.1,0.9,1.1,0.101,20.1,3.8,7.8,0.489,0.497,3.1,9.3
Darren Daye,0.566,9.5,21.0,1.8,2.1,0.117,19.7,3.2,6.3,0.512,0.513,3.0,8.7
Dudley Bradley,0.536,6.0,18.1,0.3,2.1,0.093,16.9,1.9,4.1,0.475,0.508,2.4,4.9
Don Collins,0.421,11.5,10.1,-0.1,0.2,0.025,8.3,1.1,3.1,0.353,0.353,0.6,2.9
Charles Davis,0.298,7.9,4.4,-0.1,0.0,-0.127,7.0,0.5,2.5,0.2,0.2,0.3,1.8
Guy Williams,0.468,12.5,11.7,0.0,0.2,0.05,5.7,1.4,3.0,0.46,0.468,0.4,2.9
Tom Sewell,0.265,2.5,8.8,-0.5,0.1,-0.201,4.1,0.4,1.7,0.25,0.25,0.3,1.0
Bernard King,0.585,8.9,18.6,5.7,1.5,0.166,37.5,12.6,23.7,0.53,0.531,3.7,32.9
Pat Cummings,0.556,14.5,7.9,1.3,2.0,0.077,32.8,6.5,12.7,0.514,0.514,1.7,15.8
Louis Orr,0.552,9.2,7.6,2.9,1.9,0.093,31.0,4.7,9.7,0.486,0.486,1.7,12.7
Darrell Walker,0.483,6.5,23.6,0.5,2.3,0.054,30.4,5.2,12.1,0.435,0.435,5.0,13.5
Rory Sparrow,0.539,4.3,33.6,3.1,1.2,0.091,29.0,4.1,8.4,0.492,0.498,7.1,9.9
Trent Tucker,0.521,6.0,15.5,2.1,1.2,0.086,23.6,3.8,7.9,0.483,0.507,2.6,8.5
Ken Bannister,0.481,13.6,3.9,-2.2,1.4,-0.028,18.7,2.8,5.9,0.47,0.47,0.5,6.8
Butch Carter,0.512,4.3,18.7,0.1,0.8,0.032,18.5,3.1,6.9,0.45,0.461,2.4,7.9
James Bailey,0.485,15.4,4.0,-0.8,1.4,0.021,17.5,2.1,4.7,0.447,0.447,0.5,5.2
Truck Robinson,0.34,14.9,10.6,-0.1,0.0,-0.082,17.5,1.0,2.5,0.4,0.4,1.5,2.0
Eddie Lee Wilkins,0.52,16.6,2.4,-0.2,1.0,0.043,17.0,2.1,4.3,0.498,0.498,0.3,5.5
Ernie Grunfeld,0.529,8.3,14.4,1.5,0.9,0.111,15.4,2.7,5.6,0.49,0.492,1.5,6.6
Ron Cavenall,0.378,14.7,3.5,-1.0,0.7,-0.016,12.3,0.5,1.6,0.326,0.326,0.4,1.5
Sidney Moncrief,0.565,7.9,20.1,7.3,3.9,0.197,37.5,7.7,15.9,0.483,0.487,5.2,21.7
